 5-1. 노선별 가로등 시설현황(시도),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ [(형태 : 마주보기-A, 지그재그-B, 한쪽-C, 중앙-D) (등주type : 원형-R, 팔각-E, STS-S, AL-A,) (표기 예시)알미늄재질원형 10m Y주 암2.5m=AR10Y-25 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 설치년도,광원,용량,형태,배전방식,등주타입 등이 다를때에는 다음 칸을 이용(같은 칸에서 Alt Enter 키 이용금지)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 도로연장은 편측설치, 양측설치를 구분하고 실제 도로연장만 기재(가로등 설치연장 자동계산 됨)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ○ 교량하부등은 각종 하부통과도로 상에 있는 조명을 뜻하며 교량점검용 조명은 제외할 것 ,,,,,,,,,,,,," 6,756 ","1,205 "," 7,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도로
구분","노선
번호",노선명,구 간,"노폭
(m)",도로연장(m),,"가로등
설치연장","설치
년도","조도
(lx)","경간
(m)",형태,"선로
배전
방식", 차도등 ,,,,보행등,,,"육교수
(개소)
/
등수",,,,교량하부등,,,터널등,,,,,지하(보)차도등,,,,,지하보도등,,,경관조명,,,"분전함
(수량)",비고
,,,,,편측,양측,,,,,,,등주type,본수,광원,등수,본수,광원,등수,"육교
(개소)",본수,광원,등수,"하부
(개소)",광원,등수,"터널
(개소)", 차도등 ,, 보행등 ,,"차도
(개소)", 차도등 ,, 보도등 ,,"보도
(개소)",광원,등수,"설치
(개소)",광원,등수,,
,,,,,,,(편+양×2),,,,,,,,,,,,,,,,,,,,,광원,등수,광원,등수,,광원,등수,광원,등수,,,,,,,,
시도,예시,00로,00~00,40,,"1,400 ","2,800 ",99,22,30,A,2,SR10-25,100 ,NH350,100 ,0 ,CDM70,30 ,1 ,10 ,CDM70,10 ,,,,1 ,NH400,"2,000 ",FL45,200 ,1 ,NA400,100 ,,,,NA250,50 ,,,,5 ,
,,〃,00~00,30,,"1,300 ","2,600 ",99,22,30,A,2,SR10-25,50 ,NA400,50 ,0 ,NH70,20 ,,,,,,,,,,,,,,,,,,,,,,,,3 ,
,,〃,00~00,40,50 ,"1,300 ","2,650 ",04,22,30,A,2,SR12Y-25,50 ,CDM250,100 ,0 ,NA100,20 ,2 ,20 ,CDM70,20 ,,,,,,,,,1 ,NA400,100 ,FL32,100 ,2 ,NA250,50 ,1 ,NA250,50 ,5 ,
,,〃,00~00,40,"1,300 ",,"1,300 ",04,22,30,C,3,SR12Y-28,40 ,NH350,50 ,2 ,CDM70,10 ,,,,,,NA400,60 ,,,,,,,,,,,,,,,,,2 ,
시도,계,,,,"12,430 ","51,550 ","115,530 ",,,,,,,"3,567 ",,"4,682 ",18 ,,"2,074 ",0 ,0 ,0 ,0 ,3 ,0 ,42 ,1 ,,20 ,0 ,5 ,2 ,0 ,28 ,0 ,0 ,4 ,0 ,"1,102 ",2 ,0 ,8 ,223 ,
,,강동대로,올림픽대교~동남로,55 ," 2,490 ","1,200 ","4,890 ",2004 ,30, 30 , B ,2,SR12-28, 88 , CDM250 , 93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2006 ,30, 30 , B ,2,SR12-28, 24 , CDM250 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2004 ,30, 30 , B ,2,SR12-교차4, 1 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2004 ,30, 30 , B ,2,SRY12-28, 31 , CDM250 , 62 ,,CDM70, 119 ,,,,,,,,,,,,,,,,,,,,,,,, 10 , 109 
,,강동대로,올림픽대교남단,55 ,,,0 ,2009,23,,C,2,,,,,,,,,,,,,,,,,,,,,,,,,1 ,LED40외,70 ,,,,1,5
,,강동대로,올림픽대교~동남로,55 ,,,0 ,2018,25,, B ,2,SR1Y-25, 5 ,LED150, 10 ,,LED25, 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,새말로8길,장지지구~새말로,20 , 720 ,,720 ,2010,22,30,C,2,E10-25, 22 ,CDM250, 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11
,,새말로8길,장지지구~새말로,20 ,,,0 ,2010,22,30,C,2,E10Y-25, 4 ,CDM250, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,송이포~문정로,20 , 440 ,,440 ,1987,22,30,C,2,R9-17, 13 ,CDM200, 13 ,,CDM70, 13 ,,,,,,,,,,,,,,,,,,,,,,,,1,6
,,동남로,위례대로~강동대로,25 ,,"1,160 ","2,320 ",1995 ,22,30,A,2,SE10-20, 74 ,CDM200, 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,위례대로~송파대로(로데오길),20 ,,,0 ,1997 ,22,30,A,2,SR5Y(전용), 8 ,CDM250, 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,서하남입구~장지동R,25 ,,,0 ,2004 ,22,30, A ,2,E10Y-28, 22 ,CDM250, 44 ,,CDM70, 15 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,서하남입구~장지동R,25 ,,,0 ,1989 ,22,30, B ,2,SE10-28, 25 ,CDM250, 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,서하남입구~장지동R,25 ,,"1,440 ","2,880 ",1988 , 22 , 40 , B ,2,R9-20, 41 , CDM250 , 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 15 , 155 
,,동남로,개롱공원~송이로(래미안정문앞),20 , 390 ,,390 ,2004 , 22 , 30 , C ,2,E10-25, 13 , CDM200 , 13 ,,CDM70, 13 ,,,,,,,,,,,,,,,,,,,,,,,, 9 , 137 
,,동남로,삼성래미안정문,25 ,,,0 ,1999 ,22,, C ,2,SE10-교차3, 2 , CDM250 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,위례성길~로데오,20 ,,"2,600 ","5,200 ",1997 ,22,25,A,2,SR10-25, 93 ,CDM250, 93 ,,CDM70, 1 ,,,,,,,,,,,,,,,,,,,,,,,,   ,   
,,동남로,위례성길~송파대로(로데오),20 ,,,0 ,1997 ,22,,,2,SR10-교차3, 8 , CDM250 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,위례성길~송파대로(로데오),20 ,,,0 ,1997 ,22,,,2,SR10-교차4, 2 , CDM250 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,위례성길~문정우성A,20 ,,,0 ,1997 ,22,,,2,SR10Y-25, 10 ,CDM250, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,동남로,오금로~위례성대로,20 ,,"1,100 ","2,200 ",2014 ,15,30,A,2,SE10-25, 74 , CDM150 , 82 ,,CDM70, 73 ,,,,,,,,,,,,,,,,,,,,,,,, 6 , 18 
,,동남로,개롱공원~오금로,20 ,,740 ,"1,480 ",2013 ,15,30,A,2,SE10-25, 53 , CDM150 , 65 ,,CDM70, 19 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,오금로~강동대로,50 ,,"4,150 ","8,300 ",2016 ,22,30,A,2,SE12-28, 133 , LED150 , 141 ,,LED25, 137 ,,,,,1 ,CDM250,12 ,,,,,,,,,,,,,,,,, 8 , 32 
,,양재대로,오금로~강동대로,50 ,,,0 ,2016 ,22,28,B,2,SR5-10,,,,4 ,LED25, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,탄천교~송파대로,50 ," 1,000 ","1,000 ","3,000 ",2005 ,22,28,AB,2,SE12-28, 37 ,LED150, 37 ,,CDM70, 14 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,가락사거리~강동대로,50 ,,,0 ,2012 ,22,,,2,SE12-교차3, 4 , LED150 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,탄천교~송파대로,50 ,,,0 ,2005 ,22,,,2,SE12-교차4, 2 ,LED150, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 6 , 121 
,,양재대로,탄천교~송파대로,50 ,,,0 ,2005 ,22,,,2,SE12Y-28, 4 ,LED150, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,탄천교~송파대로,50 ,,,0 ,2005 ,22,,,2,SR8Y-28, 20 , LED150 , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,송파대로~오금로,50 ,,"2,200 ","4,400 ",2012 ,22,28,,2,SE12Y-28, 5 , LED150 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,송파대로~오금로,50 ,,,0 ,2012 ,,,,,SE12-28, 92 , LED150 , 92 ,,CDM70, 32 ,,,,,,,,,,,,,,,,,,,,,,,, 2 , 17 
,,양재대로,방이고가옆,50 ,,,0 ,2017 ,,,,2,SR5, 6 , LED50 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,방이고가옆,50 ,,,0 ,2017 ,,,,2,SR5, 2 , CDM100 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,올림픽공원역 앞,50 ,,,,2018 ,22,,,2,R12-28, 5 , LED150 , 5 ,, LED25 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,올림픽공원역 앞,50 ,,,,2018 ,22,,,2,SE12-28, 4 , LED150 , 4 ,, LED25 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,올림픽공원역 앞,50 ,,,,2018 ,22,,,2,R12Y-28, 3 , LED150 , 6 ,, LED25 , 3 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,양재대로,윗말공원 앞,50 ,,,,2018 ,22,,,2,횡단보도집중조명,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED80,4 ,,
,,도곡로,백제고분로~탄천3교,25 ,,,0 ,2009 , 22 , 33 ,,2,E10-4등용, 1 , MH350 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,도곡로,백제고분로~탄천2교,25 ,,550 ,"1,100 ",2009 , 22 , 33 , A ,2,E9-20, 20 , MH350 , 20 ,,MH100, 14 ,,,,,,,,,,,,,,,,,,,,,,,, 1 , 5 
,,백제고분로,수영장~위례성대로,35 ,,"5,220 ","10,440 ",2009,22,33,A,2,R10-20, 36 , MH350 , 36 ,,CDM70, 26 ,,,,,,,,,,,,,,,,,,,,,,,,20,183
,,백제고분로,위례성대로~도곡로~신천육갑문,35 ,,,0 ,2009,22,33,A,2,SR10-교차3, 2 , MH350 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,신천육갑문~잠실본동,35 ,,,0 ,2009,22,33,A,2,SR10-교차4, 6 , MH350 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,삼전역~종합운동장사거리,35 ,,,0 ,2007,30,30,A,2,SR10-25, 35 , MH350 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,방이사거리~삼전로,35 ,,,0 ,2007,30,30,A,2,SR10-25, 19 , MH350 , 19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,석촌지하차도상부(동측),35 ,,,0 ,2017,30,30,C,2,R10-25, 8 ,LED100, 8 ,,LED50, 8 ,,,,,,,,,,,,,,,,,,,,,,,,1,8
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,R10-25, 161 ,LED100, 161 ,,LED25, 161 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,R10Y-25, 32 ,LED100, 64 ,,LED25, 32 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,R10-교차4, 6 ,LED200, 24 ,,LED25, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,신호등통합폴4등용,,LED200, 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,신호등통합폴2등용,,LED100, 5 ,,LED25, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,아시아선수촌아파트교차로~올림픽공원남4문사거리,35 ,,,0 ,2018,30,30,A,2,신호등통합폴1등용,,LED100, 6 ,,LED25, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,백제고분로,신천육갑문~아시아지하보도,35 ,,,0 ,2007,30,30,,2,R10Y-20, 24 ,MH350, 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,삼전로,갤러리아~탄천1교,35 ,,"1,400 ","2,800 ",2007,30,35,B,2,R10Y-25, 1 ,CDM250, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,삼전로,갤러리아~탄천1교,35 ,,,0 ,2007,30,35,B,2,SR10-교차4, 3 ,CDM250, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,삼전로,갤러리아~탄천1교,35 ,,,0 ,2004,30,35,B,2,SE12-28, 11 ,CDM250, 11 ,,CDM70, 11 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,삼전로,갤러리아~탄천1교,35 ,,,0 ,2007,30,35,B,2,R10-20, 56 ,CDM250, 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,6,42
,,송파대로,잠실대교하단~시계,50 ,,"6,200 ","12,400 ",2019 ,30,35,A,2,E10-20, 15 ,LED150, 15 ,,LED50, 15 ,,,,,1 ,CDM250,10 ,,,,,,,,,,,,,,,,, 25 , 344 
,,송파대로,잠실하단진입로~잠실역,50 ,,,0 ,2019 ,30,,C,2,E10-20, 12 , CDM250 , 12 ,,LED50, 12 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지동~성남시계,50 ,,,0 ,1988 ,30,35,A,2,E10Y-20, 3 ,MH350, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실역~성남시계,50 ,,,0 ,1999 ,30,,,2,SE10-교차3, 2 ,MH350, 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,
,,송파대로,중대로~로데오,50 ,,,0 ,1996 ,30,27,,2,SE10Y-28, 36 ,MH350, 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실하단진입로~잠실역,50 ,,90 ,180 ,2019 ,30,30,A,2,SE12-교차4, 1 ,LED 200, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실하단진입로~잠실역,50 ,,,0 ,2019 ,30,30,A,2,R10-25, 20 , LED100 , 40 ,,LED50, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실대교~잠실역,50 ,,,0 ,2019 ,30,30,A,2,SE12Y-교차4, 2 , LED150 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지동~성남시계,50 ,,,0 ,2019 ,30,,,2,SE15-교차8, 2 , LED150 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,   
,,송파대로,잠실역~성남시계,50 ,,,0 ,2019 ,30,,,2,SE8Y-28, 3 , LED150 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,석촌역~송파지하차도,50 ,,,0 ,2004 ,30,,A,2,SE12-28, 12 ,MH350, 12 ,,CDM70, 5 ,,,,,,,,,,,,,,,,,,,,,,,,, 헬리오 
,,송파대로,잠실~성남시계,50 ,,,0 ,1996 ,30,25,,2,SR10-28, 66 ,MH350, 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   
,,송파대로,잠실역~석촌호수로,50 ,,,0 ,2017 ,30,25,A,2,R10-25, 33 , LED150 , 33 ,,LED50, 33 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실역~석촌호수로,50 ,,,0 ,2017 ,30,25,A,2,R10Y-25, 18 , LED150 , 36 ,,LED50, 18 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실역~석촌호수로(중앙버스),50 ,,,0 ,2017 ,30,25,D,2,R10Y-25, 19 , LED150 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로,50 ,,,0 ,2018 ,19,30,A,2,R10-25, 85 , LED150 , 85 ,,LED50, 90 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로,50 ,,,0 ,2018 ,19,30,A,2,R10Y-25, 8 , LED150 , 16 ,,LED50, 8 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리,50 ,,,0 ,2018 ,25,30,,2,E15-교차8, 2 , LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,   
,,송파대로,석촌역,50 ,,,0 ,2018 ,25,30,,2,신호등통합폴,, LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리~석촌호수로(중앙버스),50 ,,,0 ,2018 , 19 , 25 , C ,2,R5Y-10, 18 , LED150 , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2018 등기구교체 
,,송파대로,송파사거리~석촌호수로(중앙버스),50 ,,,0 ,2018 , 19 , 25 , C ,2,R10Y-20, 6 , LED150 , 12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2018 등기구교체 
,,송파대로,복정역(장지치안센터 앞),50 ,,,0 ,2018 ,25,30,,2,R10Y-25, 1 ,LED150, 2 ,,LED50, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,석촌역,50 ,,,0 ,2018 ,25,30,,2,SE10-교차4, 4 ,LED200, 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,, 통합폴 
,,송파대로,복정역~장지교교차로,50 ,,,0 ,2018 ,19,30,A,2,R10-25, 4 , LED150 , 4 ,,LED50, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,송파사거리,50 ,,,0 ,2010 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,FL32 외,67 ,,,, 1 , 10 
,,송파대로,잠실대교~성남시계,,,,0 ,,,,,,,,,,,LED10, 60 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,가락시장앞,50 ,,,0 ,2016 , 30 , 28 , A ,2,SR12-28, 22 , LED150 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 , 7 
,,송파대로,가든5~새말로,50 , 750 ,,750 ,2015 , 30 , 30 , A ,2,SR10-25, 40 , CDM250 , 44 ,,CDM70, 36 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실대교남단,50 ,,,0 ,2014 ,,, A ,2,SE10Y-25, 2 , CDM250 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실사거리~석촌호수로,50 ,,550 ,"1,100 ",2016 , 30 , 28 , A ,2,SR12-28, 64 , LED150 , 80 ,,LED50, 41 ,,,,,,,,,,,,,,,,,,,,,,,, 2 , 15 
,,송파대로,장지교교차로~양재대로,50 ," 2,500 ",,"2,500 ",2017 , 30 , 23 , A ,2,R10-25, 130 , LED150 , 130 ,,LED50, 130 ,,,,,,,,,,,,,,,,,,,,,,,, 7 , 31 
,,송파대로,장지교교차로~양재대로,50 ,,,0 ,2017 , 30 , 23 , A ,2,R10-25-2등, 2 , LED150 , 4 ,,LED50, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지교교차로~양재대로,50 ,,,0 ,2017 , 30 , 23 , A ,2,SE15-교차8, 2 , LED200 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
